component,D_0,Q,A,B
NI,0.000139,282119,13.9,282.119
CR,0.000607,291231.1,60.7,291.2311
CO,0.000245,284604.8,24.5,284.6048
MO,0.000122,282027.5,12.2,282.0275
FE,7.03E-05,264609.7,7.03,264.6097
AL,9.43E-05,259546.5,9.43,259.5465
TI,0.000486,277155.5,48.6,277.1555
HF,0.000247,254383.5,24.7,254.3835
NB,5.48E-05,252554.4,5.48,252.5544
TA,2.20E-05,251000,2.2,251
W,0.000392,311334.4,39.2,311.3344
V,8.70E-05,278400,8.7,278.4
ZR,6.10E-04,265900,61,265.9
CU,5.01E-05,253219.5,5.01,253.2195
MN,7.50E-04,280900,75,280.9
C,6.20E-06,141000,0.62,141
