System Name,NI ,CR,CO,MO,FE,AL,TI,HF,NB,TA,W,V,ZR,CU,MN,C,Stress (Mpa),Temperature,Lattice Misfit,Amount of Gamma Prime,ln(Effective Diffusivity of Gamma Phase),ln(Time to rupture(H)),LMP_K
15Cr-28Co-4Mo-2.5Ti-3Al,0.475,0.15,0.28,0.04,,0.03,0.025,,,,,,,,,,415.86652,1023.15,-4.43E-05,0.36113274,-4.17E+01,5.051146368,22.71153764
15Cr-28Co-4Mo-2.5Ti-3Al,0.475,0.15,0.28,0.04,,0.03,0.025,,,,,,,,,,423.5471362,1023.15,-4.43E-05,0.36113274,-4.17E+01,5.497668612,22.90998464
15Cr-28Co-4Mo-2.5Ti-3Al,0.475,0.15,0.28,0.04,,0.03,0.025,,,,,,,,,,383.064306,1023.15,-4.43E-05,0.36113274,-4.17E+01,5.828737865,23.05712109
15Cr-28Co-4Mo-2.5Ti-3Al,0.475,0.15,0.28,0.04,,0.03,0.025,,,,,,,,,,378.2749475,1023.15,-4.43E-05,0.36113274,-4.17E+01,6.097400096,23.17652212
15Cr-28Co-4Mo-2.5Ti-3Al,0.475,0.15,0.28,0.04,,0.03,0.025,,,,,,,,,,338.1639884,1023.15,-4.43E-05,0.36113274,-4.17E+01,6.816328991,23.49603426
15Cr-28Co-4Mo-2.5Ti-3Al,0.475,0.15,0.28,0.04,,0.03,0.025,,,,,,,,,,344.4095208,1023.15,-4.43E-05,0.36113274,-4.17E+01,7.262851235,23.69448126
15Cr-28Co-4Mo-2.5Ti-3Al,0.475,0.15,0.28,0.04,,0.03,0.025,,,,,,,,,,303.3164404,1023.15,-4.43E-05,0.36113274,-4.17E+01,7.952448831,24.00095775
15Cr-28Co-4Mo-2.5Ti-3Al,0.475,0.15,0.28,0.04,,0.03,0.025,,,,,,,,,,313.7254068,1023.15,-4.43E-05,0.36113274,-4.17E+01,8.487901081,24.23892774
15Cr-28Co-4Mo-2.5Ti-3Al,0.475,0.15,0.28,0.04,,0.03,0.025,,,,,,,,,,279.1921596,1023.15,-4.43E-05,0.36113274,-4.17E+01,8.640642268,24.3068102
15Cr-28Co-4Mo-2.5Ti-3Al,0.475,0.15,0.28,0.04,,0.03,0.025,,,,,,,,,,276.5568632,1023.15,-4.43E-05,0.36113274,-4.17E+01,9.296696089,24.5983789
15Cr-28Co-4Mo-2.5Ti-3Al,0.475,0.15,0.28,0.04,,0.03,0.025,,,,,,,,,,242.6327681,1023.15,-4.43E-05,0.36113274,-4.17E+01,9.509504035,24.69295671
15Cr-28Co-4Mo-2.5Ti-3Al,0.475,0.15,0.28,0.04,,0.03,0.025,,,,,,,,,,243.4435481,1023.15,-4.43E-05,0.36113274,-4.17E+01,9.926694978,24.87836806
15Cr-28Co-4Mo-2.5Ti-3Al,0.475,0.15,0.28,0.04,,0.03,0.025,,,,,,,,,,202.3257062,1023.15,-4.43E-05,0.36113274,-4.17E+01,10.7373622,25.23865129
15Cr-28Co-4Mo-2.5Ti-3Al,0.475,0.15,0.28,0.04,,0.03,0.025,,,,,,,,,,202.615183,1023.15,-4.43E-05,0.36113274,-4.17E+01,10.91615832,25.31811329
15Cr-28Co-4Mo-2.5Ti-3Al,0.475,0.15,0.28,0.04,,0.03,0.025,,,,,,,,,,338.429272,1073.15,-0.000159609,0.32578453,-4.01E+01,4.541430806,23.58362168
15Cr-28Co-4Mo-2.5Ti-3Al,0.475,0.15,0.28,0.04,,0.03,0.025,,,,,,,,,,349.0686899,1073.15,-0.000159609,0.32578453,-4.01E+01,4.809077183,23.7083831
15Cr-28Co-4Mo-2.5Ti-3Al,0.475,0.15,0.28,0.04,,0.03,0.025,,,,,,,,,,269.2247279,1073.15,-0.000159609,0.32578453,-4.01E+01,6.304591889,24.40550643
15Cr-28Co-4Mo-2.5Ti-3Al,0.475,0.15,0.28,0.04,,0.03,0.025,,,,,,,,,,273.798098,1073.15,-0.000159609,0.32578453,-4.01E+01,6.721553665,24.59987014
15Cr-28Co-4Mo-2.5Ti-3Al,0.475,0.15,0.28,0.04,,0.03,0.025,,,,,,,,,,243.6603117,1073.15,-0.000159609,0.32578453,-4.01E+01,7.141171248,24.79547183
15Cr-28Co-4Mo-2.5Ti-3Al,0.475,0.15,0.28,0.04,,0.03,0.025,,,,,,,,,,240.3850205,1073.15,-0.000159609,0.32578453,-4.01E+01,7.409702894,24.92064591
15Cr-28Co-4Mo-2.5Ti-3Al,0.475,0.15,0.28,0.04,,0.03,0.025,,,,,,,,,,202.128119,1073.15,-0.000159609,0.32578453,-4.01E+01,8.366973949,25.36687086
